##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	SRR032151.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	7154944
Sequences flagged as poor quality	0
Sequence length	35
%GC	51
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	22.0	22.0	22.0	22.0	22.0	22.0
2	22.0	22.0	22.0	22.0	22.0	22.0
3	22.0	22.0	22.0	22.0	22.0	22.0
4	22.0	22.0	22.0	22.0	22.0	22.0
5	22.0	22.0	22.0	22.0	22.0	22.0
6	22.0	22.0	22.0	22.0	22.0	22.0
7	22.0	22.0	22.0	22.0	22.0	22.0
8	22.0	22.0	22.0	22.0	22.0	22.0
9	22.0	22.0	22.0	22.0	22.0	22.0
10	22.0	22.0	22.0	22.0	22.0	22.0
11	22.0	22.0	22.0	22.0	22.0	22.0
12	22.0	22.0	22.0	22.0	22.0	22.0
13	21.880088788954883	22.0	22.0	22.0	22.0	22.0
14	21.879781868313714	22.0	22.0	22.0	22.0	22.0
15	21.85062300976779	22.0	22.0	22.0	22.0	22.0
16	21.845531285779455	22.0	22.0	22.0	22.0	22.0
17	21.841149141069447	22.0	22.0	22.0	22.0	22.0
18	21.835897807166624	22.0	22.0	22.0	22.0	22.0
19	21.85002342436223	22.0	22.0	22.0	22.0	22.0
20	21.84640620527568	22.0	22.0	22.0	22.0	22.0
21	21.845517449193174	22.0	22.0	22.0	22.0	22.0
22	21.835178304679953	22.0	22.0	22.0	22.0	22.0
23	21.83474587641776	22.0	22.0	22.0	22.0	22.0
24	21.810994467601702	22.0	22.0	22.0	22.0	22.0
25	21.785072112374326	22.0	22.0	22.0	22.0	22.0
26	21.77489537304555	22.0	22.0	22.0	22.0	22.0
27	21.77033223460589	22.0	22.0	22.0	22.0	22.0
28	21.746467477593114	22.0	22.0	22.0	22.0	22.0
29	21.721810680838313	22.0	22.0	22.0	22.0	22.0
30	21.70820568267201	22.0	22.0	22.0	22.0	22.0
31	16.55703566652653	17.0	17.0	17.0	16.0	17.0
32	16.557445872392574	17.0	17.0	17.0	16.0	17.0
33	16.538887935391248	17.0	17.0	17.0	16.0	17.0
34	16.458198414970123	17.0	17.0	17.0	16.0	17.0
35	16.40899146100934	17.0	17.0	17.0	15.0	17.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.0
1	11	0.0
1	12	0.0
1	13	-0.03134653785969377
1	14	-0.04520930171844739
1	15	-0.11603272330810199
1	16	-0.142547755956695
1	17	-0.09070470615546
1	18	-0.03515916388431961
1	19	-0.09077856790006322
1	20	-0.05196160648161552
1	21	-0.13827779847409616
1	22	-0.06057438660091918
1	23	-0.044193697418236866
1	24	-0.06325940419251452
1	25	-0.07649561736922195
1	26	-0.11244731860216106
1	27	-0.12536313027365864
1	28	-0.10351023718987662
1	29	-0.05324626352480166
1	30	-0.1034508824975866
1	31	-0.2542495932927977
1	32	-0.3201851476994051
1	33	-0.3025744621114761
1	34	-0.33718673233638086
1	35	-0.42663805972712154
2	1	0.0
2	2	0.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	0.0
2	8	0.0
2	9	0.0
2	10	0.0
2	11	0.0
2	12	0.0
2	13	-0.028224411482785428
2	14	-0.06904120431738292
2	15	-0.09264594579424568
2	16	-0.13443351250959878
2	17	-0.1017104568743008
2	18	-0.050112838649223335
2	19	-0.08606645110768696
2	20	-0.05558726802264147
2	21	-0.09135939895193346
2	22	-0.12931294419839645
2	23	-0.05337088623350539
2	24	-0.06319838962124891
2	25	-0.07085921837490261
2	26	-0.0273912699294101
2	27	-0.05499485507259294
2	28	-0.0547850840457329
2	29	-0.03863902095281091
2	30	-0.038874199301073276
2	31	-0.28120560168273556
2	32	-0.28993410937517083
2	33	-0.28854048564219426
2	34	-0.41005528534995506
2	35	-0.24522996704887134
3	1	0.0
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.0
3	7	0.0
3	8	0.0
3	9	0.0
3	10	0.0
3	11	0.0
3	12	0.0
3	13	-0.03748917345420466
3	14	-0.04187766461463838
3	15	-0.07623727474193487
3	16	-0.13076245707413037
3	17	-0.07380243666959174
3	18	-0.07522853621016168
3	19	-0.09505625105823512
3	20	-0.11031377142435872
3	21	-0.08163657525028967
3	22	-0.048282157409154536
3	23	-0.047427957100591556
3	24	-0.02451914885804385
3	25	-0.029985280754203814
3	26	-0.06710703418947261
3	27	-0.07396817188320881
3	28	-0.09210461678527082
3	29	-0.06460324714407051
3	30	-0.11518657532080212
3	31	-0.2239433027044484
3	32	-0.23461247984191758
3	33	-0.2529146772903097
3	34	-0.24777009682495077
3	35	-0.32652936256986465
4	1	0.0
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
4	6	0.0
4	7	0.0
4	8	0.0
4	9	0.0
4	10	0.0
4	11	0.0
4	12	0.0
4	13	-0.03235796459068396
4	14	-0.039964505712202225
4	15	-0.05933290955261583
4	16	-0.12852107608020802
4	17	-0.12813701747786865
4	18	-0.03573043041702206
4	19	-0.07321353985836154
4	20	-0.053143453943157226
4	21	-0.01034684547632736
4	22	-0.03576253906935989
4	23	-0.0632366736895662
4	24	-0.07215816349598825
4	25	-0.08244486924041894
4	26	-0.06496680075839834
4	27	-0.15186780739148986
4	28	-0.0921066642359385
4	29	-0.06542728478888193
4	30	-0.019053971635887734
4	31	-0.11291920533007627
4	32	-0.26287797378484257
4	33	-0.2565212353902915
4	34	-0.17760557243916608
4	35	-0.3755661035295894
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	0.0
5	8	0.0
5	9	0.0
5	10	0.0
5	11	0.0
5	12	0.0
5	13	0.008804125057139345
5	14	-0.024284231409083645
5	15	-0.09807537765389185
5	16	-0.053671031703316885
5	17	-0.10003308435286229
5	18	-0.08740370653866592
5	19	-0.09171468682332673
5	20	-0.1387508123206409
5	21	0.0016703065212162471
5	22	-0.0050805470401869
5	23	-0.012651578762820748
5	24	-0.04537772480320257
5	25	-0.05533718694200829
5	26	-0.04883542627592519
5	27	-0.14355617969109602
5	28	-0.03747535035446603
5	29	-0.05514394666394651
5	30	-0.09115946693577825
5	31	-0.16871725098664925
5	32	-0.26170215586868295
5	33	-0.22097006945043418
5	34	-0.21090576273681094
5	35	-0.1831333054750779
6	1	0.0
6	2	0.0
6	3	0.0
6	4	0.0
6	5	0.0
6	6	0.0
6	7	0.0
6	8	0.0
6	9	0.0
6	10	0.0
6	11	0.0
6	12	0.0
6	13	-0.05045028865613688
6	14	-0.06151565643722279
6	15	-0.10004063869988045
6	16	-0.06320246493214299
6	17	-0.04938219507531372
6	18	-0.013514120719005263
6	19	-0.040753781976228254
6	20	-0.014564233509474889
6	21	-0.040412031055680586
6	22	-0.03376706215037473
6	23	0.01711453024817544
6	24	-0.035840483570485304
6	25	-0.05158149289347236
6	26	-0.12842296678207887
6	27	-0.1327112289692458
6	28	-0.021200717714719985
6	29	-0.13433775439111884
6	30	-0.15062241649421182
6	31	-0.1483056626933852
6	32	-0.16762720885202143
6	33	-0.11670481926683607
6	34	-0.25117215485236244
6	35	-0.1841333511017602
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
7	7	0.0
7	8	0.0
7	9	0.0
7	10	0.0
7	11	0.0
7	12	0.0
7	13	-0.016610849495698687
7	14	-0.06047957435100315
7	15	-0.05892663854657698
7	16	-0.06570468924248019
7	17	-0.11606984778594054
7	18	-0.06057846143069767
7	19	-0.03040370687344307
7	20	-0.0981752024484166
7	21	-0.03417392330190694
7	22	-0.07030757519216735
7	23	-0.01869619019861446
7	24	-0.04324809403189889
7	25	-0.0557519786790337
7	26	-0.04730911438296559
7	27	-0.08307713179799592
7	28	-0.028812709692374483
7	29	-0.13963442404167736
7	30	-0.09490326794506032
7	31	-0.17010948015623129
7	32	-0.1673493390666252
7	33	-0.2036305898760844
7	34	-0.2495956741808314
7	35	-0.25724262015169685
8	1	0.0
8	2	0.0
8	3	0.0
8	4	0.0
8	5	0.0
8	6	0.0
8	7	0.0
8	8	0.0
8	9	0.0
8	10	0.0
8	11	0.0
8	12	0.0
8	13	-0.01932650137890235
8	14	-0.02957859285892539
8	15	-0.07289270206258536
8	16	-0.05536392281788238
8	17	-0.044355126523203836
8	18	-0.08144063905012544
8	19	-0.12206210471980583
8	20	-0.06643990320603166
8	21	-0.09024127924480396
8	22	-0.058366267877609346
8	23	-0.07078431584453071
8	24	-0.01736483857251514
8	25	-0.07433381597288857
8	26	-0.015295685702358952
8	27	-0.01572355280788429
8	28	-0.17193948402226766
8	29	-0.1460513708356359
8	30	0.00807592948656577
8	31	-0.14362690391765298
8	32	-0.17193896874784542
8	33	-0.1714128773635224
8	34	-0.1680473854963047
8	35	-0.17938110776016458
9	1	0.0
9	2	0.0
9	3	0.0
9	4	0.0
9	5	0.0
9	6	0.0
9	7	0.0
9	8	0.0
9	9	0.0
9	10	0.0
9	11	0.0
9	12	0.0
9	13	-0.047562749362608514
9	14	-0.02373751838337057
9	15	-0.0331218551835164
9	16	-0.04013233619456713
9	17	-0.030864275057837176
9	18	-0.06548353345636215
9	19	-0.07437418716691724
9	20	-0.07385533184871207
9	21	0.017702198735630503
9	22	-0.023894727712146846
9	23	-0.014022967412309129
9	24	-0.0016085200238400432
9	25	-0.0529990528964106
9	26	-0.015113078429166649
9	27	-0.06616803767137824
9	28	8.128385927008708E-5
9	29	-0.08270495000242661
9	30	-0.03885111269534747
9	31	-0.14930348049589526
9	32	-0.09392856439223252
9	33	-0.15660048143413619
9	34	-0.15322314543672633
9	35	-0.1879003107821937
10	1	0.0
10	2	0.0
10	3	0.0
10	4	0.0
10	5	0.0
10	6	0.0
10	7	0.0
10	8	0.0
10	9	0.0
10	10	0.0
10	11	0.0
10	12	0.0
10	13	0.008094511994492848
10	14	0.003303752024088169
10	15	0.011638780649679603
10	16	-0.055333827335672936
10	17	-0.006655962925353975
10	18	-0.040558413988474484
10	19	-0.0032865529021464113
10	20	-0.03178593643578864
10	21	0.01108027679322987
10	22	-0.027652917360537543
10	23	5.118990267014567E-4
10	24	-0.010361542784377065
10	25	-0.01155047086179195
10	26	0.008163707644193607
10	27	-0.04476217207340838
10	28	0.012577458963438204
10	29	-0.039346805116245775
10	30	-0.018866796953911802
10	31	-0.07560634929890853
10	32	-0.11414744460261517
10	33	-0.1341228581675793
10	34	-0.09476623518320793
10	35	-0.2881503496868483
11	1	0.0
11	2	0.0
11	3	0.0
11	4	0.0
11	5	0.0
11	6	0.0
11	7	0.0
11	8	0.0
11	9	0.0
11	10	0.0
11	11	0.0
11	12	0.0
11	13	-0.0283139564060626
11	14	-0.013402701885532053
11	15	-0.02760679738217675
11	16	-0.04437802607644059
11	17	0.020297800110203212
11	18	-0.02455766012492333
11	19	-0.016918918777257375
11	20	-0.04589505120453197
11	21	-0.005305785107346139
11	22	-0.016118107013060268
11	23	0.00682969439462866
11	24	9.133376348557931E-5
11	25	-0.026684979663848196
11	26	-0.012386054330370655
11	27	-0.038999304041411165
11	28	-0.0332867618348196
11	29	-0.03225211147801588
11	30	-0.06029020302111476
11	31	-0.10130890824684968
11	32	-0.10318361609261117
11	33	-0.0680868542028179
11	34	-0.0730207618546217
11	35	-0.02723677874689301
12	1	0.0
12	2	0.0
12	3	0.0
12	4	0.0
12	5	0.0
12	6	0.0
12	7	0.0
12	8	0.0
12	9	0.0
12	10	0.0
12	11	0.0
12	12	0.0
12	13	-0.01361367740542363
12	14	-0.04552388347106984
12	15	-0.0023225659215135863
12	16	0.00762537973267996
12	17	-0.05692286860960749
12	18	-0.04556206241487004
12	19	-0.03713229443303234
12	20	-0.06993983965879025
12	21	-0.0029039444169178807
12	22	-0.013581629446825616
12	23	0.011743800406470939
12	24	-0.013241775641571252
12	25	-0.04146662510281374
12	26	-0.044360877794417775
12	27	-0.05562860267705716
12	28	-0.01975911474018588
12	29	-0.013298122440705384
12	30	-0.017127992877025378
12	31	-0.012492446159654946
12	32	-0.029179554593508072
12	33	-0.030588857311219186
12	34	-0.061301615497200146
12	35	-0.06207162114687037
13	1	0.0
13	2	0.0
13	3	0.0
13	4	0.0
13	5	0.0
13	6	0.0
13	7	0.0
13	8	0.0
13	9	0.0
13	10	0.0
13	11	0.0
13	12	0.0
13	13	-0.0029183500534628593
13	14	-0.015889340100766702
13	15	-0.008868638895119574
13	16	-0.019726743394571145
13	17	0.03354472970880806
13	18	-0.009272117565437554
13	19	0.006966927801258294
13	20	-3.088910808912715E-6
13	21	-0.011009428035510638
13	22	0.016335959753813967
13	23	0.03376230350968612
13	24	0.01214552575623884
13	25	-0.02297541041400919
13	26	0.002653311964504468
13	27	0.023988711163781318
13	28	-0.0070580182560036064
13	29	-0.010843150760923237
13	30	0.05971629148116975
13	31	-0.09109289360984008
13	32	0.020796114558681467
13	33	-0.019753994353326476
13	34	-0.027664542997669628
13	35	0.03302711429381233
14	1	0.0
14	2	0.0
14	3	0.0
14	4	0.0
14	5	0.0
14	6	0.0
14	7	0.0
14	8	0.0
14	9	0.0
14	10	0.0
14	11	0.0
14	12	0.0
14	13	-0.010397981414488555
14	14	0.020707427629968578
14	15	-0.0645651795656157
14	16	-0.07689249736812442
14	17	0.00856810355681148
14	18	-0.05601981357185082
14	19	0.006966927801258294
14	20	-0.031257262812236064
14	21	-0.011410122572709014
14	22	-0.007839277323785865
14	23	-0.016190948794307047
14	24	-0.002813736965812552
14	25	0.044341271835225626
14	26	-0.012840210140478092
14	27	-0.011005278418160458
14	28	-0.027894134190290742
14	29	-0.06961168288326647
14	30	0.0034854914277460125
14	31	0.038732136442252596
14	32	-0.03209556435142602
14	33	-0.04940539010596723
14	34	-0.03220574775257745
14	35	-0.03989929147618909
15	1	0.0
15	2	0.0
15	3	0.0
15	4	0.0
15	5	0.0
15	6	0.0
15	7	0.0
15	8	0.0
15	9	0.0
15	10	0.0
15	11	0.0
15	12	0.0
15	13	-0.027313197536777523
15	14	0.007586357748948558
15	15	0.02986701108764933
15	16	0.03743704169480111
