##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	SRR032150.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6437039
Sequences flagged as poor quality	0
Sequence length	35
%GC	51
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	21.960567428595663	22.0	22.0	22.0	22.0	22.0
2	21.95368196464244	22.0	22.0	22.0	22.0	22.0
3	21.950760901091325	22.0	22.0	22.0	22.0	22.0
4	21.944606829320126	22.0	22.0	22.0	22.0	22.0
5	21.835086442695157	22.0	22.0	22.0	22.0	22.0
6	21.94188337215294	22.0	22.0	22.0	22.0	22.0
7	21.950075958837594	22.0	22.0	22.0	22.0	22.0
8	21.94514947012128	22.0	22.0	22.0	22.0	22.0
9	21.943316018436427	22.0	22.0	22.0	22.0	22.0
10	21.928891684515193	22.0	22.0	22.0	22.0	22.0
11	21.845010570854082	22.0	22.0	22.0	22.0	22.0
12	21.941663084533122	22.0	22.0	22.0	22.0	22.0
13	21.8147270818151	22.0	22.0	22.0	22.0	22.0
14	21.825295450283896	22.0	22.0	22.0	22.0	22.0
15	21.82696221042004	22.0	22.0	22.0	22.0	22.0
16	21.57917343673077	22.0	22.0	22.0	22.0	22.0
17	21.555138006776097	22.0	22.0	22.0	22.0	22.0
18	21.302516110279896	22.0	22.0	22.0	22.0	22.0
19	21.29245869102238	22.0	22.0	22.0	22.0	22.0
20	21.264367514318305	22.0	22.0	22.0	22.0	22.0
21	21.259250099308083	22.0	22.0	22.0	22.0	22.0
22	21.72840664783917	22.0	22.0	22.0	22.0	22.0
23	21.489938308591885	22.0	22.0	22.0	22.0	22.0
24	21.47640491225857	22.0	22.0	22.0	22.0	22.0
25	20.47090657676612	22.0	22.0	22.0	22.0	22.0
26	21.205741956822074	22.0	22.0	22.0	22.0	22.0
27	21.178206625748267	22.0	22.0	22.0	22.0	22.0
28	21.16917545473936	22.0	22.0	22.0	22.0	22.0
29	21.13212612196384	22.0	22.0	22.0	22.0	22.0
30	21.078888290097357	22.0	22.0	22.0	22.0	22.0
31	16.293661262577405	17.0	17.0	17.0	16.0	17.0
32	16.289861534161904	17.0	17.0	17.0	16.0	17.0
33	16.267326638847457	17.0	17.0	17.0	16.0	17.0
34	16.426969915826206	17.0	17.0	17.0	16.0	17.0
35	16.217878437585977	17.0	17.0	17.0	16.0	17.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
8	1	-0.0015461289371430098
8	2	-0.009489841131568255
8	3	-0.001772578904024158
8	4	-0.010068194469223357
8	5	0.1629209917928165
8	6	-0.05804901635279336
8	7	-0.028227567362328898
8	8	-0.0641088109077863
8	9	-0.033768901643238536
8	10	-0.12686283217185235
8	11	0.00398463323504572
8	12	-0.09363346737725564
8	13	-0.21769609606502272
8	14	-0.25111176208821817
8	15	-0.2690788376273261
8	16	-21.581406058707543
8	17	-21.56143658724338
8	18	-21.321954983112093
8	19	-21.312203579826072
8	20	-21.284982732750834
8	21	-21.280950737096887
8	22	-0.13341761473731495
8	23	-21.49458151187136
8	24	-21.481960225724027
8	25	-20.415297455703357
8	26	-21.230127767014718
8	27	-21.20370308505078
8	28	-21.193791944819235
8	29	-21.15765857151194
8	30	-21.104176412348085
8	31	-16.314857671417936
8	32	-16.31199826687907
8	33	-16.2862231424578
8	34	-16.436244772004112
8	35	-16.237011452110718
9	1	-0.026907058413293328
9	2	-0.015909570144930996
9	3	-0.00759242939302851
9	4	-0.018518107016184615
9	5	0.14861688405274975
9	6	-0.00936439832849345
9	7	-0.020040066815475654
9	8	-0.011763770472473567
9	9	-0.024518503655230006
9	10	-0.05721557978183256
9	11	0.079871699156012
9	12	-0.01613716169246615
9	13	-0.08048248421652104
9	14	-0.02788866544777946
9	15	-0.04968744462939867
9	16	-0.0010742092538791326
9	17	-0.11775656565967552
9	18	-21.321954983112093
9	19	-21.312203579826072
9	20	-21.284982732750834
9	21	-21.280950737096887
9	22	-0.16257934531426343
9	23	-0.25365341258632057
9	24	-0.2947215908933245
9	25	-20.415297455703357
9	26	-21.230127767014718
9	27	-21.20370308505078
9	28	-21.193791944819235
9	29	-21.15765857151194
9	30	-21.104176412348085
9	31	-16.314857671417936
9	32	-16.31199826687907
9	33	-16.2862231424578
9	34	-0.6685393895678526
9	35	-16.237011452110718
10	1	-0.00823677504214615
10	2	-0.01690810176906865
10	3	-0.017414486398955376
10	4	-0.00909978720898863
10	5	0.17819694987861823
10	6	-0.006311743433574435
10	7	-0.011076500371867581
10	8	0.0027238255514241416
10	9	-0.001714728436507329
10	10	0.009332529672278156
10	11	0.09550552592152073
10	12	-0.020148406195769297
10	13	-0.0013030501351991575
10	14	-0.023289233469039772
10	15	-0.048354398623310146
10	16	0.189986733834548
10	17	0.20439060073491433
10	18	0.15863497097166857
10	19	0.2289123238889701
10	20	0.11170573253370719
10	21	0.0628644848315929
10	22	-0.04421910245554628
10	23	0.18122202228753892
